"molecule structure","name","activity","type"
"C(CC[NH3+])C[C@@H](C(=O)[O-])[NH3+]","Lys","0","real"
"c1ccc(cc1)CNC(=[NH2+])N","Zeiger3","0","real"
"c1cnc(nc1)N","Zeiger5","0","real"
"Cc1cc(n2c(n1)ncn2)[O-]","MV1346","0","real"
"c1ccc2c(c1)ccnc2N","Zeiger14","0","real"
"Cc1ccc2c(c1)c(nc([nH+]2)N)N","Zeiger20","0","real"
"C1CC(=O)N(C1)CCCNc2c(nc(c(n2)N)C(=O)N=C(N)N)Cl","Amiloride_4g","0","real"
"c1cc(c(c(c1)Cl)CC(=O)N=C(N)N)Cl","MV2017","0","real"
"CCCC[NH+](C)C","MV2005","0","real"
"CO[C@@]1(C[C@H]([C@@H]([C@@H](O1)[C@@H]([C@@H](CO)O)O)[NH3+])O)C(=O)[O-]","P09524617","0","decoy"
"C([C@@H]([C@@H]([C@@H]([C@@H]1[C@@H](n2c(c(c(=O)[nH]c2=O)[N+](=O)[O-])N1)O)O)O)O)O","P12675375","0","decoy"
"c1cc(sc1)/C=N/Nc2nc3c([nH+]cnc3n2[C@@H]4[C@@H]([C@@H]([C@@H](O4)CO)O)O)N","P13415704","0","decoy"
"C[C@@H]1[C@@]([C@@]([C@@]([C@](O1)(CO)O)(C)O)(C)O[C@H]2[C@]([C@]([C@]([C@@H](O2)CO)(C)O)(C)O)(C)O)(C)O","P18157526","0","decoy"
"c1[nH+]c2c(n1[C@@H]3[C@@H]([C@@H]([C@@H](O3)CO)O)O)c(=O)[nH]c(n2)N","P20247299","0","decoy"
"C[C@H]1[C@@H]([C@@H]([C@@H]([C@@H](O1)Oc2cc3c(cc(cc3[o+]c2c4ccc(c(c4)O)O)O)O)O)O)O","P20610549","0","decoy"
"CCCCNc1nc2c([nH+]cnc2n1[C@@H]3[C@H]([C@@H]([C@H](O3)CO)O)O)N","P23105294","0","decoy"
"CNC(=S)NN[C@@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO","P24502179","0","decoy"
"C1COCC[NH+]1CC/[NH+]=C/2\N[C@H]3[C@H]([C@@H](C[C@@H]([C@H]3S2)C(=O)N)O)O","P30574640","0","decoy"
"C1[C@H]([C@@H]([C@H]([C@@H](O1)N[C@H]2[C@@H]([C@H]([C@@H](CO2)O)O)O)O)O)O","P37995464","0","decoy"
"C([C@@H]1[C@H]([C@H]([C@@H](O1)n2nc(c(n2)C(=O)N)C(=O)N)O)O)O","P46271995","0","decoy"
"CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1O)CO[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O","P46453148","0","decoy"
"C1C[C@H](N(C1)C(=O)CN)C(=O)N[C@@H](CCC[NH+]=C(N)N)C(=O)N2CCC[C@H]2C(=O)N","P50612152","0","decoy"
"CCC[C@H]1C[C@@H]([C@@H](/C(=N\NC(=O)N)/C1)NNC(=O)N)C","P52794616","0","decoy"
"C([C@H]([C@@H]([C@@H]([C@@H](C=O)[NH3+])O)O)O)O[P@@](=O)(O)[O-]","P55387576","0","decoy"
"C1C[C@@H](CN(C1)C(=O)[C@H](CC(=O)N)[NH3+])C(=O)N","P55942361","0","decoy"
"c1ccc(c(c1)N[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)O)N[C@H]3[C@H]([C@@H]([C@@H]([C@@H](O3)CO)O)O)O","P59674978","0","decoy"
"C[C@@H]1CC[C@@H](CN1c2c(cc(c[nH+]2)N)C(=O)N)C(=O)N","P64180252","0","decoy"
"C[C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)O[C@@H]2[C@@H](O[C@@H]([C@@H]([C@@H]2O)NC(=O)C)O)CO)O)O)O","P65256407","0","decoy"
"C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H]([NH2+]1)O[S@@](=O)O)O)O)O)O","P67315832","0","decoy"
"C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)NC(=O)CCCCC[NH3+])O)O)O","P67775315","0","decoy"
"c1c(c(cc2c1OCC(=O)N2)N(CC(=O)N)CC(=O)N)N","P94679153","0","decoy"
"C1CCC(C1)(/C(=N/O)/N)C(=O)N(CC(=O)N)CC(=O)N","P94683830","0","decoy"
"CCC[C@@H](/C(=N/O)/N)C(=O)N(CC(=O)N)CC(=O)N","P94683873","0","decoy"
"C1CC[C@@H]([C@H](C1)CC(=O)N(CC(=O)N)CC(=O)N)[NH3+]","P94684265","0","decoy"
"C1CC(CCC1CC(=O)N(CC(=O)N)CC(=O)N)[NH3+]","P94684274","0","decoy"
"c1cnc(cn1)/C(=[NH+]/N=C(/CO)\[C@H]([C@@H]([C@@H](CO)O)O)O)/N","P114990823","0","decoy"
"Cc1c(c(n[nH]1)C)S(=O)(=O)NC2(CC[NH+](CC2)C)C(=[NH2+])N","P124656846","0","decoy"
"Cc1[nH]c(c[nH+]1)S(=O)(=O)N[C@@H]2CCC[C@@H]2C(=[NH2+])N","P124668483","0","decoy"
"CC(=O)N[C@@H]([C@@H]([C@@H]([C@H]([C@H](CO)O)O)O)O)/N=C(\C)/O","P128049418","0","decoy"
"C[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)O[C@@H]2[C@@H]([C@H](O[C@@H]([C@H]2O)CO)O)NC(=O)C)O)O)O","P130200728","0","decoy"
"COCCNC(=O)NC(=O)CS/C(=[NH+]/N)/N","P130749678","0","decoy"
"C1C[C@H]([C@H](C1)[NH3+])C(=O)N(CC(=O)N)CC(=O)N","P133582006","0","decoy"
"C1CCC(C1)NC(=O)NC(=O)CS/C(=[NH+]\N)/N","P136823581","0","decoy"
"C[C@@H](C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)[O-])NC(=O)C[NH3+]","P136907857","0","decoy"
"CCc1c([nH+]cnc1NCCCS(=O)(=O)N)NN","P137439072","0","decoy"
"Cc1c([nH+]c(nc1NC[C@H](CO)O)C(C)C)NN","P137521786","0","decoy"
"C1CCC(C1)(Cc2[nH]c3c(n2)c(=O)[nH]c(n3)N)[NH3+]","P138775395","0","decoy"
"CSCC[C@@H](c1[nH]c2c(n1)c(=O)[nH]c(n2)N)[NH3+]","P138777253","0","decoy"
"c1c(cc(cc1NC[C@H](CO)O)S(=O)(=O)N)N","P141129225","0","decoy"
"c1cc(ccc1/C(=N\O)/N)OCC[NH2+]C[C@H](CO)O","P141130306","0","decoy"
"c1[nH]c2c(n1)C[NH2+][C@@H](C2)c3[nH]c4c(n3)c(=O)[nH]c(n4)N","P145225318","0","decoy"
"C1CC[C@@H]([C@H](CC1)[NH3+])C(=O)N(CC(=O)N)CC(=O)N","P148508225","0","decoy"
"CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1O[C@H]2[C@H]([C@@H]([C@H](O[C@@H]2O)CO)O)O)CO)O)O","P151966167","0","decoy"
"c1[nH+]c2c(n1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NCN(C2=O)N","P151991865","0","decoy"
"Cc1c[nH+]c(c(c1OC)C)C[C@@H](c2cn[nH]c2N)NN","P154593531","0","decoy"
"c1c(c(n[nH]1)N)[C@@H]([C@@H]2CCO[C@@]3(C2)CCOC3)N[NH3+]","P154593572","0","decoy"
"c1cc2c(cc1[C@H](c3cn[nH]c3N)N[NH3+])OCCCO2","P154608527","0","decoy"
"c1cc2c(cc1[C@H](c3cn[nH]c3N)N[NH3+])OCCO2","P154609085","0","decoy"
"c1c(c(n[nH]1)N)[C@@H]([C@H]2CCO[C@@]3(C2)CCOC3)N[NH3+]","P154609260","0","decoy"
"C(CCl)NC(=O)N[C@@H]1[C@@H]([C@@H]([C@@H](O[C@@H]1O)CO)O)O","P06168530","0","decoy"
"c1nc2c(=O)[nH]c(nc2n1[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)O)N","P10377623","0","decoy"
"c1c(c2c([nH]1)c(ncn2)N)[C@@H]3[C@@H]([C@@H]([C@@H](O3)CO)O)O","P19920129","0","decoy"
"c1nc2c(n1[C@@H]3[C@@H]([C@@H]([C@@H](O3)CO)O)O)c(=O)[nH]c(n2)N","P20205733","0","decoy"
"c1cc\2c(c(c1)C(=O)[O-])N[C@H](/C2=N\NC(=O)C[NH3+])O","P20599930","0","decoy"
"C([C@@H]1[C@H]([C@@H]([C@H](O1)n2c3c(c(=O)nc([nH]3)N)[nH]c2=S)O)O)O","P29024710","0","decoy"
"Cc1cc(c(c(c1)O)[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O","P45899165","0","decoy"
"C([C@H]1[C@@H]([C@@H]([C@H](O1)n2c3c(c(=O)[nH]c(n3)N)[nH]c2=S)O)O)O","P54390023","0","decoy"
"c1nc2c(=O)[nH]c(nc2n1[C@H]3[C@@H]([C@@H]([C@@H](O3)CN)O)O)N","P56590906","0","decoy"
"c1nc2c(nc(=O)[nH]c2n1[C@H]3[C@H]([C@@H]([C@@H](O3)CO)O)O)N","P56674182","0","decoy"
"C1CN(CCN1C(=O)[C@H](CC(=O)N)N)S(=O)(=O)N","P57293182","0","decoy"
"C[C@@H]1CC[C@@H](CN1C(=O)c2cc(cc(c2)N)N)C(=O)N","P61222587","0","decoy"
"C[C@@H]1CC[C@H](CN1C(=O)c2cc(cc(c2)N)N)C(=O)N","P61222589","0","decoy"
"C[C@@H](/C(=N/O)/N)C(=O)NC(C)(C)C(=O)N","P67985220","0","decoy"
"c1c(nc([nH]c1=O)SCc2c(snn2)NN)N","P76602793","0","decoy"
"c1cc(c(cc1S(=O)(=O)N)N)N[C@H]2CCCC[C@@H]2O","P77862121","0","decoy"
"c1cc(c(cc1S(=O)(=O)N)N)N[C@@H]2CCCC[C@H]2O","P77862123","0","decoy"
"C[NH+](C)c1ccc(cc1)[C@H]2NC(=[NH2+])NC(=S)N2","P82742911","0","decoy"
"C[C@H]1CNC(=[NH+]1)C(C2=[NH+]C[C@H](N2)C)(C3=[NH+]C[C@@H](N3)C)O","P105275514","0","decoy"
"C[C@H]1CNC(=N1)C(C2=[NH+]C[C@H](N2)C)(C3=[NH+]C[C@@H](N3)C)O","P105279507","0","decoy"
"CCCc1c(c(n[nH]1)C(=O)N2C[C@@H](C[C@H]2C(=O)N)O)N","P108117551","0","decoy"
"[H]/N=C\1/[C@H](C(=O)c2c(c(c3n2C[C@@H]([C@@H]3O)N)COC(=O)N)C1=O)C","P112121876","0","decoy"
"C([C@@H]1[C@@H]([C@@H]([C@@H](O1)N2C3=NC(=NC(=O)[C@@H]3NC2=O)N)O)O)O","P112771012","0","decoy"
"c1c([nH+]c[nH]1)C[C@H]2C(=O)[C@@H](C(=[NH2+])N2)C(=O)N","P116692605","0","decoy"
"[H]/N=C\1/[C@H](N=CN1[C@H]2[C@@H]([C@H]([C@@H](O2)CO)O)O)C(=O)N","P120018291","0","decoy"
"CC1(O[C@@H]2[C@H](O[C@H]([C@H]2O1)N3C=[NH+][C@@H](C3=[NH2+])C(=O)N)CO)C","P120547882","0","decoy"
"C[C@@H]([C@H]1CCCO1)Nc2cc(nc(n2)N)NN","P137418526","0","decoy"
"c1/c(=N/N)/[nH]c(nc1NC2CCS(=O)(=O)CC2)N","P137418747","0","decoy"
"C[C@@H](Cn1cccn1)Nc2c/c(=N/N)/[nH]c(n2)N","P137446200","0","decoy"
"Cc1cc(=O)[nH]c(n1)Sc2cc(nc(n2)N)NN","P137468462","0","decoy"
"COc1ccc(cc1)Nc2c/c(=N/N)/[nH]c(n2)N","P137470116","0","decoy"
"C[C@H]1C(=O)NC(=O)CN1c2c/c(=N/N)/[nH]c(n2)N","P137487654","0","decoy"
"c1cc(ccc1C[C@@H](c2[nH]c3c(n2)c(=O)[nH]c(n3)N)N)O","P138777393","0","decoy"
"CC(C)(C)[C@@H](c1[nH]c2c(n1)c(=O)[nH]c(n2)N)N","P138779875","0","decoy"
"C[C@@H]1CCC[C@@](C1)(c2[nH]c3c(n2)c(=O)[nH]c(n3)N)N","P138779957","0","decoy"
"C1CC(=O)NC(=O)[C@H]1NC(=O)[C@@H](CC(=O)N)N","P140825638","0","decoy"
"C1CC(=O)NC(=O)[C@H]1NC(=O)[C@H](CC(=O)N)N","P140825640","0","decoy"
"c1cc(c(cc1N[C@H]2CCCC[C@@H]2O)N)S(=O)(=O)N","P145911340","0","decoy"
"c1cc(c(cc1N[C@H]2CCCC[C@H]2O)N)S(=O)(=O)N","P145911342","0","decoy"
"c1cc(c(cc1NC2(CCCC2)CO)N)S(=O)(=O)N","P145911351","0","decoy"
"c1c(cn[nH]1)S(=O)(=O)Nc2c(c[nH]n2)/C(=N\O)/N","P146163888","0","decoy"
"C([C@@H]1[C@H]([C@H]([C@@H](O1)N2[C@@H](N=C3C2=[NH+]C(=NC3=O)N)[O-])O)O)O","P150883800","0","decoy"
"CC1(C[C@H](C(O1)(C)C)[C@@H](c2c[nH+]n(c2N)C)NN)C","P154593232","0","decoy"
"c1cc2c(cc1[C@H](c3cn[nH]c3N)NN)OCCCO2","P154593352","0","decoy"
"c1cc(ccc1C2CCC2)[C@@H](c3cn[nH]c3N)NN","P154593515","0","decoy"
"C[NH+](C)C1(CCCCCC1)[C@@H](c2c[nH+]ccc2N)NN","P154659569","0","decoy"
"CN(C)C1(CCCCCC1)[C@@H](c2c[nH+]ccc2N)NN","P154677975","0","decoy"
"c1cc(c(c(c1)S(=O)(=O)N)N)NC2CCC(CC2)O","P154897850","0","decoy"
"C[C@]1([C@H]([C@@H](O[C@@H]1n2cnc3c2nc([nH]c3=O)N)CO)O)O","P155906593","0","decoy"
"C1=N[C@@H]2C(=[NH+]C(=NC2=N1)[NH-])NNC(=S)N","P156238979","0","decoy"
"C1[C@@H]([C@H]1C(=O)NN)C(=O)NN","P04819314","0","decoy"
"CC1[C@H]([C@@H]1C(=O)NN)C(=O)NN","P05622709","0","decoy"
"C(C(CO)(CO)NC(=O)N)O","P05892028","0","decoy"
"C([C@H]([C@@H]1[C@@H]([C@@H]([C@@H]([C@@H](O1)O)O)O)O)O)O","P06768307","0","decoy"
"C([C@H]([C@H]([C@@H](C(=O)N)O)O)O)O","P07138396","0","decoy"
"C([C@@H]([C@@H]([C@@H]([C@@H]1[C@@H](NC(=O)N1)O)O)O)O)O","P07583861","0","decoy"
"CC(CO)(CO)NC(=O)C(=O)NN","P07839198","0","decoy"
"C1[C@H]([C@@H](CS1(=O)=O)NC(=O)N)NC(=O)N","P08977643","0","decoy"
"c1(c([nH]c(=O)[nH]c1=O)N)N","P12546767","0","decoy"
"C([C@H]([C@H]([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O)O)O","P25447432","0","decoy"
"c1[nH]c2c(n1)c(nc(n2)NN)NN","P25450987","0","decoy"
"Cn1c(=O)c(c(nc1N)N)N","P29324737","0","decoy"
"C(C(=O)N)NCC(=O)NC(=O)N","P29842412","0","decoy"
"C(C(=O)N)Sc1nnc(n1N)NN","P31405565","0","decoy"
"C([C@@H]1[C@H]([C@H]([C@H]([C@H](O1)O)N)O)O)O","P32759881","0","decoy"
"[H]/N=C(\C(=[NH2+])N)/NCC(=O)[O-]","P41607271","0","decoy"
"[H]/N=C(/C(=N\N)/SC)\NN","P53551844","0","decoy"
"COCCn1c(c(c(=O)[nH]c1=O)NN)N","P56107424","0","decoy"
"c1c(c(=O)[nH]c(=O)n1[C@H]2[C@@H]([C@@H]([C@@H](O2)CO)O)O)N","P56494203","0","decoy"
"C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)N)O)O)O)O","P57737090","0","decoy"
"c1ccc(cc1)C2=C(C(C(C(=C2)O)(O)O)(O)O)O","P59262341","0","decoy"
"C1[C@H](CN([C@H]1C(=O)[O-])C(=O)[C@@H](CC(=O)N)[NH3+])O","P61435864","0","decoy"
"C([C@@H](c1nc([nH]n1)N)N)O","P62310473","0","decoy"
"C1C=CCC23C1(C2(C(=O)NN)C(=O)NN)CC=CC3","P67924488","0","decoy"
"C1CC[C@H]([C@@H](C1)NC(=O)[C@@H](CC(=O)N)N)O","P77894175","0","decoy"
"C1c2c(nc([nH]c2=O)N)Cc3c1nc([nH]c3=O)N","P89320753","0","decoy"
"[H]/N=C(\N)/NNC(=S)N","P89664634","0","decoy"
"C(C[C@@](C(=O)[O-])([NH3+])N)CO","P89770471","0","decoy"
"C(C(=O)N)N(CC(=O)N)C(=O)NN","P94683905","0","decoy"
"CC(=O)N[C@H]1[C@H]([C@@H]([C@@H](O[C@@H]1N)CO)O)O","P95487934","0","decoy"
"CC1[C@@H]([C@@H]1C(=O)NN)C(=O)NN","P96833583","0","decoy"
"C([C@H](C(=O)NO)N)C(=O)N","P107223414","0","decoy"
"[H]/N=C(\N)/N/C(=N/[H])/N1CCNCC1","P128267430","0","decoy"
"C1CC(=O)NC[C@H]1NC(=O)[C@H](CC(=O)N)N","P128953828","0","decoy"
"CC[C@H](c1[nH]c2c(n1)c(=O)[nH]c(n2)N)N","P131532070","0","decoy"
"CCC[C@H](c1[nH]c2c(n1)c(=O)[nH]c(n2)N)N","P131532084","0","decoy"
"C([C@@H](c1[nH]c2c(n1)c(=O)[nH]c(n2)N)O)N","P133358757","0","decoy"
"C1[C@H](CN([C@H]1C(=O)N)C(=O)[C@@H](CC(=O)[O-])[NH3+])O","P134341432","0","decoy"
"[H]/N=C(\N)/N/C(=N/[H])/NCC","P134658896","0","decoy"
"[C@H]([NH3+])(ON=C(N)N)[S-]","P135972115","0","decoy"
"c1c(cn(n1)Cc2nnc(n2N)N)N","P136999159","0","decoy"
"C[C@@H]([C@@H](c1nnc(n1N)N)N)O","P137001820","0","decoy"
"C1COC[C@]1(c2nnc(n2N)N)N","P137001850","0","decoy"
"CCC[C@H](c1nnc(n1N)N)N","P137003112","0","decoy"
"C1[C@@H](C=C[C@H]1N)c2nnc(n2N)N","P137003169","0","decoy"
"CCC[C@@](C)(c1nnc(n1N)N)N","P137003176","0","decoy"
"[H]/N=C(/N)\N(C1=CC=CCN1O)C(=O)N","P151021046","0","decoy"
"C([C@@H]([C@H]([C@@H]([C@@H]1[C@@H]([C@@H](C(=O)O1)O)O)O)O)O)O","P153350511","0","decoy"
"c1c(c([nH]n1)N)[C@H]([C@@H]2CCO[C@@]3(C2)CCOC3)NN","P154609257","0","decoy"
"C([C@H]([C@@H]([C@@H](/C=N/N)O)O)O)O","P155911241","0","decoy"
"C[C@H]1[C@H]([C@@]2([C@@H](C2(C)C)[C@@H]3[C@@]1([C@@H]4C=C(C(=O)[C@@]4(CC(=C3)CO)O)C)O)O)O","P07569050","0","decoy"
"c1ccc2c(c1)c3c([nH]2)[C@H]([NH2+][C@H](C3)C(=O)[O-])c4ccc(c(c4)O)O","P10629120","0","decoy"
"Cc1c(c(n(n1)CCO)N)[C@@]2(c3cc(ccc3NC2=O)C(C)C)O","P10846819","0","decoy"
"CCCCC#Cc1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@@H](O3)C(=O)NCC)O)O)N","P19314029","0","decoy"
"c1nc(c2c(n1)n(c(n2)N3CCCCC3)[C@@H]4[C@H]([C@@H]([C@@H](O4)CO)O)O)N","P20049519","0","decoy"
"CC(=O)C1=C(C=C2[C@](C1=O)(c3c(cc(c(c3O2)C(=O)N)O)O)C)O","P20566486","0","decoy"
"Cc1cc(ccc1N[C@H]2[C@H]([C@@H]([C@@H](O2)[C@H](CO)O)O)O)[N+](=O)[O-]","P20629179","0","decoy"
"c1cc(ccc1NC(=O)CN2C(=O)/C(=C/c3ccc(cc3O)O)/NC2=O)O","P22868686","0","decoy"
"Cc1ccc(cc1)C2=NN[C@H](S2)[C@](C)([C@](C)([C@](C)(CO)O)O)O","P24650761","0","decoy"
"c1cc(c(cc1C(=O)N)[N+](=O)[O-])Sc2[nH]c(=O)cc(n2)N","P29164221","0","decoy"
"CC[C@H]1Cc2c3ccccc3[nH]c2[C@@H]([NH2+]1)c4c([nH]c(=O)[nH]c4=O)[O-]","P30976850","0","decoy"
"C[C@@H]1CCCC[C@H]1NS(=O)(=O)c2cc([nH]c2)C(=O)NN","P32965359","0","decoy"
"c1cc2c(cc1Br)c(c[nH]2)O[C@H]3[C@H]([C@H]([C@H]([C@@H](O3)CO)O)O)O","P49381849","0","decoy"
"c1ccc(c(c1)N)NS(=O)(=O)c2cccc(c2)S(=O)(=O)N","P53935540","0","decoy"
"CC(C)(C)NC(=O)[C@H](c1c(cc(cc1O)O)O)N(C)C(=O)[C@@H]2CCC(=O)N2","P54309957","0","decoy"
"C[C@@H](c1ccc(cc1)S(=O)(=O)N)NC(=O)[C@@](C)(C2CC2)N","P55946814","0","decoy"
"Cc1c(c(n[nH]1)O)C(c2cc(ccc2O)[N+](=O)[O-])c3c([nH]nc3O)C","P56688140","0","decoy"
"c1c(cc(c(c1NN)S(=O)(=O)Nc2c[nH]nc2)F)[N+](=O)[O-]","P56992824","0","decoy"
"c1cc[nH+]c(c1)N/C(=[NH+]/NC2=c3cc(ccc3=[NH+]C2=O)F)/c4ccccn4","P57574321","0","decoy"
"[H]/N=C(\N)/N/N=C/1\CC(Cc2c1c(c(o2)C(=O)N[C@@H](C)CC)C)(C)C","P60479057","0","decoy"
"[H]/N=C(\N)/N/N=C/1\CC(Cc2c1c(c(o2)C(=O)Nc3cc(on3)C)C)(C)C","P60479221","0","decoy"
"c1cc(cc(c1)O)[C@@H]2c3c(nc(=S)[nH]c3NC4=C2C(=O)CCC4)N","P61362203","0","decoy"
"c1c(c[nH]c1C(=O)NNC(=O)NC2CCC(CC2)O)Br","P64925223","0","decoy"
"Cc1cc(c(o1)C)[C@@H](C)Nc2ccc(cc2N)S(=O)(=O)N","P67463425","0","decoy"
"c1cc(c(cc1S(=O)(=O)N[C@@H]2CCCC[C@H]2[NH3+])C(=O)[O-])O","P72975256","0","decoy"
"Cc1ccc(cc1)/N=C/2\N[C@]3(c4ccccc4NC3=O)NC(=N2)N","P76955756","0","decoy"
"COc1ccc(cc1)NC2=N[C@]3(c4ccccc4NC3=O)NC(=N2)N","P76955767","0","decoy"
"c1csc2n1c(c(n2)NN)S(=O)(=O)N[C@H]3CCCC[C@@H]3O","P77874677","0","decoy"
"C[C@@H](CNC(=O)c1ccc(cc1O)Br)/C(=N/O)/N","P81467779","0","decoy"
"Cc1c(cc(c(n1)C)C(=O)NN)c2nnc(o2)c3cc(c(c(c3)O)O)O","P81564326","0","decoy"
"c1cc(ccc1Nc2c(nccn2)C(=S)N)S(=O)(=O)N","P81847765","0","decoy"
"CC[NH+](CC)c1ccc(cc1)[C@@H]2c3c(=O)[nH]c(nc3OC(=C2C(=O)N)N)[O-]","P89257437","0","decoy"
"c1ccc(c(c1)C2=NC(=O)[C@@]3(CC(=NN3)c4ccc(cc4)Br)NN2)N","P90233603","0","decoy"
"C[NH+](C)c1ccc(cc1)NC(=O)CS[C@H]2[NH+]=c3cc[nH+]cc3=[NH+]2","P97528853","0","decoy"
"c1cc(ccc1C2=N[C@@H]3[C@@H]([C@@H]2[C@@H]4C(=NC(=O)NC4=O)N)C(=O)NC(=O)N3)Cl","P97560967","0","decoy"
"c1cc(c(cc1C(=O)[O-])Cl)NC(=O)N[C@H]2CCCC[C@@H]2[NH3+]","P110433915","0","decoy"
"c1cc2c(cc1Cl)[nH]cc2O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O","P111284155","0","decoy"
"CCOc1cccc(c1O)[C@H]2c3c(n[nH]c3Nc4c2c(=O)[nH]c(=O)[nH]4)C","P112424376","0","decoy"
"CCC1CCC(CC1)(C(=[NH2+])N)[N-]S(=O)(=O)c2c[nH]nc2","P124665781","0","decoy"
"COc1cccc(c1OC)[C@@H]2c3ccc(cc3Oc4c2c(c(c(n4)N)C#N)N)O","P133653635","0","decoy"
"COc1cccc(c1OC)[C@H]2c3ccc(cc3Oc4c2c(c(c(n4)N)C#N)N)O","P133653648","0","decoy"
